FIRE_NT_ID,OBJECTID,VERSION_NO,TRACK_DATE,SOURCE,LOAD_DATE,FIRE_YEAR,FIRE_NT_NM,FIRE_NT_LK,FIRE_STAT,SHAPE,SIZE_HA,FIRE_NO,FCODE,X,Y
,183420,2018062301,20180623000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,23.9,G80677,JA70003000,,
,183421,2018062301,20180623000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,55.9,G80719,JA70003000,,
,183422,2018062201,20180622000000,Non-corrected ground GPS                          ,20180626000000,2018,,,Not Active,,35.7,G80723,JA70003000,,
,183423,2018062201,20180622000000,Non-corrected ground GPS                          ,20180624000000,2018,,,Not Active,,25.2,G80729,JA70003000,,
,183424,2018062401,20180624000000,Non-corrected ground GPS                          ,20180625000000,2018,,,Not Active,,5.3,G80787,JA70003000,,
,183425,2018062401,20180624000000,Hand sketch of any type                           ,20180626000000,2018,,,Not Active,,4.8,G80788,JA70003000,,
,183426,2018062301,20180623000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,21.2,G80799,JA70003000,,
,183427,2018062902,20180629000000,Non-corrected ground GPS                          ,20180706000000,2018,,,Not Active,,318.9,G80883,JA70003000,,
,183428,2018062901,20180629000000,Non-corrected airborne GPS                        ,20180705000000,2018,,,Not Active,,100.2,G80912,JA70003000,,
,183429,2018071001,20180710000000,Non-corrected airborne GPS                        ,20180716000000,2018,,,Not Active,,339.6,G80950,JA70003000,,
,183430,2018071101,20180711000000,Non-corrected ground GPS                          ,20180713000000,2018,,,Not Active,,1.1,G81110,JA70003000,,
,183431,2018050901,20180509000000,Digitized other                                   ,20180510000000,2018,,,Not Active,,418.2,G90138,JA70003000,,
,183466,2018040501,20180405000000,Non-corrected ground GPS                          ,20180406000000,2018,,,Not Active,,141.2,K20004,JA70003000,,
,183467,2018051501,20180515000000,Non-corrected ground GPS                          ,20180515000000,2018,,,Not Active,,1.9,K20197,JA70003000,,
,183468,2018051701,20180517000000,Non-corrected ground GPS                          ,20180518000000,2018,,,Not Active,,162.3,K20203,JA70003000,,
683,183469,2018060101,20180601000000,Non-corrected airborne GPS                        ,20180601000000,2018,Allie Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=683,Not Active,,2464.3,K20351,JA70003000,,
690,183470,2018062101,20180621000000,Non-corrected ground GPS                          ,20180730000000,2018,Batchelor Heights,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=690,Not Active,,24.5,K20784,JA70003000,,
,183471,2018070701,20180707000000,Digitized from image                              ,20180728000000,2018,,,Not Active,,2.3,K21050,JA70003000,,
696,183472,2018071402,20180714000000,Non-corrected airborne GPS                        ,20180715000000,2018,East Shuswap Road,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=696,Not Active,,549.0,K21128,JA70003000,,
,183473,2018080601,20180806000000,Non-corrected ground GPS                          ,20180806000000,2018,,,Active,,37.4,K21668,JA70003000,,
,183474,2018042601,20180426000000,Non-corrected ground GPS                          ,20180501000000,2018,,,Not Active,,8.0,K40045,JA70003000,,
,183475,2018061201,20180612000000,Non-corrected ground GPS                          ,20180612000000,2018,,,Not Active,,2.1,K40117,JA70003000,,
,183476,2018052501,20180525000000,Non-corrected ground GPS                          ,20180608000000,2018,,,Not Active,,3.5,K40342,JA70003000,,
722,183477,2018080301,20180803000000,Hand sketch of any type                           ,20180803000000,2018,Sugar Mountain,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=722,Fire of Note,,167.0,K41791,JA70003000,,
728,183478,2018080501,20180805000000,Hand sketch of any type                           ,20180805000000,2018,Harris Creek FSR,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=728,Fire of Note,,259.3,K41800,JA70003000,,
,183479,2018080301,20180803000000,Hand sketch of any type                           ,20180803000000,2018,,,Active,,15.2,K42022,JA70003000,,
,183480,2018050901,20180509000000,Non-corrected ground GPS                          ,20180605000000,2018,,,Not Active,,3.0,K50007,JA70003000,,
,183481,2018060501,20180605000000,Hand sketch of any type                           ,20180605000000,2018,,,Not Active,,14.9,K50022,JA70003000,,
,183482,2018060501,20180605000000,Hand sketch of any type                           ,20180605000000,2018,,,Not Active,,5.6,K50406,JA70003000,,
,183483,2018052901,20180529000000,Non-corrected ground GPS                          ,20180605000000,2018,,,Not Active,,3.7,K50436,JA70003000,,
,183484,2018061801,20180618000000,Hand sketch of any type                           ,20180705000000,2018,,,Not Active,,11.0,K50555,JA70003000,,
,183485,2018072201,20180722000000,Non-corrected ground GPS                          ,20180706000000,2018,,,Not Active,,1.8,K50724,JA70003000,,
710,183486,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,Snowy Mountain,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=710,Fire of Note,,12218.5,K51238,JA70003000,,
704,183487,2018072801,20180728000000,Non-corrected airborne GPS                        ,20180728000000,2018,Goode,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=704,Not Active,,1370.3,K51242,JA70003000,,
698,183488,2018072901,20180729000000,Non-corrected airborne GPS                        ,20180729000000,2018,Mount Conkle,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=698,Active,,91.8,K51243,JA70003000,,
,183489,2018072201,20180722000000,Non-corrected airborne GPS                        ,20180722000000,2018,,,Not Active,,23.1,K51247,JA70003000,,
705,183490,2018072201,20180722000000,Non-corrected airborne GPS                        ,20180722000000,2018,Law Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=705,Not Active,,15.4,K51248,JA70003000,,
703,183491,2018072701,20180727000000,Derived from satellite imagery                    ,20180729000000,2018,Glenfir Road,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=703,Not Active,,99.8,K51256,JA70003000,,
702,183492,2018072301,20180723000000,Non-corrected ground GPS                          ,20180723000000,2018,Mount Eneas,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=702,Not Active,,1789.9,K51264,JA70003000,,
,183446,2018073101,20180731000000,Ozi,20180731000000,2018,,,Active,,136.7,G90764,JA70003000,,
,183447,2018071401,20180714000000,Non-corrected airborne GPS                        ,20180716000000,2018,,,Not Active,,10.9,G90779,JA70003000,,
,183448,2018062401,20180624000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,163.2,G90793,JA70003000,,
,183449,2018062401,20180624000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,36.3,G90830,JA70003000,,
,183450,2018073101,20180731000000,Non-corrected airborne GPS                        ,20180807000000,2018,,,Not Active,,61.5,G90843,JA70003000,,
,183451,2018062402,20180624000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,279.4,G90866,JA70003000,,
,183452,2018062401,20180624000000,Non-corrected ground GPS                          ,20180704000000,2018,,,Not Active,,1.5,G90867,JA70003000,,
,183453,2018071201,20180712000000,Corrected airborne GPS                            ,20180713000000,2018,,,Not Active,,25.8,G90873,JA70003000,,
,183454,2018071501,20180715000000,Non-corrected ground GPS                          ,20180718000000,2018,,,Not Active,,2.3,G90876,JA70003000,,
,183455,2018062301,20180623000000,Non-corrected airborne GPS                        ,20180624000000,2018,,,Not Active,,26.2,G90885,JA70003000,,
,183456,2018062801,20180628000000,Non-corrected airborne GPS                        ,20180629000000,2018,,,Not Active,,20.2,G90888,JA70003000,,
,183457,2018062701,20180627000000,Non-corrected airborne GPS                        ,20180628000000,2018,,,Not Active,,6.0,G90890,JA70003000,,
,183458,2018070701,20180707000000,Non-corrected ground GPS                          ,20180713000000,2018,,,Not Active,,13.3,G91047,JA70003000,,
,183459,2018072401,20180724000000,Non-corrected ground GPS                          ,20180730000000,2018,,,Not Active,,2.7,G91428,JA70003000,,
,183460,2018073101,20180730000000,Ozi,20180731000000,2018,,,Active,,30.5,G91469,JA70003000,,
,183461,2018073101,20180730000000,Ozi,20180731000000,2018,,,Active,,20.7,G91470,JA70003000,,
,183462,2018073101,20180730000000,Ozi,20180731000000,2018,,,Active,,2.9,G91472,JA70003000,,
,183463,2018080801,20180808000000,Hand sketch of any type                           ,20180808000000,2018,,,Active,,2358.5,G91474,JA70003000,,
,183464,2018072801,20180728000000,Ozi,20180728000000,2018,,,Active,,96.3,G91509,JA70003000,,
,183465,2018080801,20180808000000,Hand sketch of any type                           ,20180808000000,2018,,,Active,,2484.1,G92052,JA70003000,,
701,183493,2018072201,20180722000000,Unknown                                           ,20180722000000,2018,Munro Lake FSR,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=701,Active,,59.5,K51278,JA70003000,,
,183494,2018073001,20180730000000,Non-corrected airborne GPS                        ,20180730000000,2018,,,Not Active,,117.0,K51344,JA70003000,,
,183495,2018072401,20180724000000,Non-corrected ground GPS                          ,20180727000000,2018,,,Active,,3.5,K51346,JA70003000,,
708,183514,2018071901,20180719000000,Non-corrected ground GPS                          ,20180727000000,2018,St. Mary River,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=708,Not Active,,6.6,N11332,JA70003000,,
726,183515,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,Sage Creek ,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=726,Fire of Note,,1147.9,N12024,JA70003000,,
,183516,2018061601,20180616000000,Hand sketch of any type                           ,20180626000000,2018,,,Not Active,,47.8,N20484,JA70003000,,
,183517,2018062701,20180627000000,Non-corrected ground GPS                          ,20180712000000,2018,,,Not Active,,6.8,N20767,JA70003000,,
,183518,2018071501,20180715000000,Non-corrected ground GPS                          ,20180716000000,2018,,,Not Active,,8.1,N21148,JA70003000,,
,183519,2018072802,20180728000000,Non-corrected ground GPS                          ,20180728000000,2018,,,Not Active,,78.3,N21350,JA70003000,,
,183520,2018072601,20180726000000,Non-corrected airborne GPS                        ,20180726000000,2018,,,Active,,43.6,N21358,JA70003000,,
,183521,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,29.6,N41850,JA70003000,,
,183522,2018080701,20180807000000,Non-corrected ground GPS                          ,20180808000000,2018,,,Active,,11.0,N41909,JA70003000,,
,183523,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,4.6,N41938,JA70003000,,
,183524,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,96.1,N41944,JA70003000,,
,183525,2018080601,20180806000000,Non-corrected airborne GPS                        ,20180807000000,2018,,,Active,,6.8,N41973,JA70003000,,
,183526,2018051201,20180512000000,Non-corrected ground GPS                          ,20180514000000,2018,,,Not Active,,1.2,N50162,JA70003000,,
,183527,2018071901,20180719000000,Non-corrected airborne GPS                        ,20180720000000,2018,,,Not Active,,15.2,N51325,JA70003000,,
,183528,2018071901,20180719000000,Non-corrected airborne GPS                        ,20180720000000,2018,,,Active,,67.5,N51329,JA70003000,,
,183496,2018070501,20180705000000,Non-corrected ground GPS                          ,20180706000000,2018,,,Not Active,,2.4,K60035,JA70003000,,
,183497,2018050801,20180508000000,Hand sketch of any type                           ,20180515000000,2018,,,Not Active,,3.9,K60123,JA70003000,,
,183498,2018052801,20180528000000,Hand sketch of any type                           ,20180612000000,2018,,,Not Active,,52.5,K60417,JA70003000,,
,183499,2018062001,20180620000000,Non-corrected ground GPS                          ,20180624000000,2018,,,Not Active,,2.9,K60604,JA70003000,,
,183500,2018070401,20180704000000,Non-corrected ground GPS                          ,20180710000000,2018,,,Not Active,,4.7,K60751,JA70003000,,
,183501,2018062601,20180626000000,Hand sketch of any type                           ,20180626000000,2018,,,Not Active,,2.5,K60897,JA70003000,,
,183502,2018071301,20180713000000,Non-corrected ground GPS                          ,20180808000000,2018,,,Not Active,,1.6,K61142,JA70003000,,
,183503,2018072101,20180721000000,Hand sketch of any type                           ,20180725000000,2018,,,Not Active,,16.4,K61215,JA70003000,,
699,183504,2018080201,20180802000000,Non-corrected airborne GPS                        ,20180803000000,2018,Placer Mountain,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=699,Fire of Note,,2372.9,K61241,JA70003000,,
,183505,2018080301,20180803000000,Hand sketch of any type                           ,20180807000000,2018,,,Not Active,,3.7,K62048,JA70003000,,
,183506,2018041201,20180412000000,Non-corrected ground GPS                          ,20180615000000,2018,,,Not Active,,17.8,K70009,JA70003000,,
,183507,2018050201,20180502000000,Non-corrected ground GPS                          ,20180614000000,2018,,,Not Active,,0.7,K70089,JA70003000,,
,183508,2018072301,20180723000000,Non-corrected airborne GPS                        ,20180724000000,2018,,,Not Active,,75.6,K71429,JA70003000,,
,183509,2018042201,20180422000000,Non-corrected ground GPS                          ,20180425000000,2018,,,Not Active,,1.8,N10023,JA70003000,,
,183510,2018060801,20180605000000,Hand sketch of any type                           ,20180608000000,2018,,,Not Active,,9.6,N10475,JA70003000,,
,183511,2018060401,20180604000000,Non-corrected ground GPS                          ,20180608000000,2018,,,Not Active,,2.8,N10478,JA70003000,,
,183512,2018060501,20180605000000,Non-corrected ground GPS                          ,20180608000000,2018,,,Not Active,,0.0,N10479,JA70003000,,
,183513,2018060401,20180604000000,Non-corrected ground GPS                          ,20180608000000,2018,,,Not Active,,0.5,N10480,JA70003000,,
,183545,2018062001,20180620000000,Non-corrected ground GPS                          ,20180705000000,2018,,,Not Active,,1.2,C20591,JA70003000,,
,183546,2018072701,20180727000000,Non-corrected ground GPS                          ,20180807000000,2018,,,Not Active,,15.9,C31274,JA70003000,,
,183547,2018071801,20180718000000,Non-corrected ground GPS                          ,20180726000000,2018,,,Not Active,,1.9,C31296,JA70003000,,
,183548,2018080601,20180806000000,Non-corrected ground GPS                          ,20180806000000,2018,,,Not Active,,14.7,C31606,JA70003000,,
715,183549,2018080201,20180802000000,Non-corrected airborne GPS                        ,20180804000000,2018,Horsefly Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=715,Fire of Note,,529.5,C31678,JA70003000,,
,183550,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180807000000,2018,,,Active,,327.6,C31689,JA70003000,,
,183551,2018080201,20180802000000,Non-corrected airborne GPS                        ,20180804000000,2018,,,Active,,27.7,C31691,JA70003000,,
,183552,2018080301,20180803000000,Non-corrected airborne GPS                        ,20180804000000,2018,,,Active,,120.6,C31692,JA70003000,,
,183553,2018062301,20180623000000,Non-corrected ground GPS                          ,20180627000000,2018,,,Not Active,,21.2,C40620,JA70003000,,
735,183554,2018080301,20180803000000,Non-corrected airborne GPS                        ,20180804000000,2018,Wild Goose Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=735,Fire of Note,,20.6,C41745,JA70003000,,
,183555,2018080501,20180805000000,Non-corrected ground GPS                          ,20180806000000,2018,,,Active,,9.2,C42133,JA70003000,,
,183529,2018080401,20180804000000,Non-corrected airborne GPS                        ,20180804000000,2018,,,Active,,109.9,N51446,JA70003000,,
,183530,2018080501,20180805000000,Non-corrected airborne GPS                        ,20180805000000,2018,,,Active,,132.3,N51528,JA70003000,,
737,183531,2018080601,20180806000000,Digitized from image                              ,20180807000000,2018,McArthur Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=737,Fire of Note,,29.4,N51557,JA70003000,,
,183532,2018080301,20180803000000,Non-corrected airborne GPS                        ,20180803000000,2018,,,Active,,245.7,N51624,JA70003000,,
,183533,2018080101,20180801000000,Non-corrected airborne GPS                        ,20180805000000,2018,,,Active,,34.2,N51804,JA70003000,,
,183534,2018080301,20180803000000,Non-corrected airborne GPS                        ,20180803000000,2018,,,Active,,25.4,N51880,JA70003000,,
,183535,2018080401,20180804000000,Non-corrected airborne GPS                        ,20180804000000,2018,,,Active,,11.0,N52073,JA70003000,,
,183536,2018072001,20180720000000,Non-corrected airborne GPS                        ,20180721000000,2018,,,Active,,13.4,N71335,JA70003000,,
,183537,2018080301,20180803000000,Non-corrected airborne GPS                        ,20180804000000,2018,,,Active,,155.4,N71590,JA70003000,,
,183538,2018073101,20180731000000,Non-corrected ground GPS                          ,20180731000000,2018,,,Active,,136.6,N71602,JA70003000,,
,183539,2018080601,20180806000000,Hand sketch of any type                           ,20180807000000,2018,,,Active,,54.5,N72106,JA70003000,,
,183540,2018041901,20180419000000,Non-corrected ground GPS                          ,20180607000000,2018,,,Not Active,,8.9,C10018,JA70003000,,
,183541,2018062801,20180628000000,Non-corrected ground GPS                          ,20180705000000,2018,,,Not Active,,42.9,C10627,JA70003000,,
,183542,2018072701,20180727000000,Non-corrected ground GPS                          ,20180706000000,2018,,,Not Active,,9.4,C10705,JA70003000,,
693,183543,2018062501,20180625000000,Non-corrected ground GPS                          ,20180627000000,2018,NW of Batnuni Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=693,Not Active,,143.9,C10782,JA70003000,,
732,183544,2018080702,20180807000000,Non-corrected airborne GPS                        ,20180807000000,2018,Shag Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=732,Fire of Note,,296.4,C11837,JA70003000,,
,183556,2018080801,20180808000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,Active,,59.8,C42138,JA70003000,,
,183557,2018042401,20180424000000,Non-corrected ground GPS                          ,20180501000000,2018,,,Not Active,,0.8,C50032,JA70003000,,
,183558,2018042501,20180425000000,Non-corrected ground GPS                          ,20180530000000,2018,,,Not Active,,2.7,C50039,JA70003000,,
694,183559,2018062401,20180624000000,Non-corrected ground GPS                          ,20180625000000,2018,NE of Stewart Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=694,Not Active,,91.4,C50839,JA70003000,,
,183560,2018080501,20180805000000,Non-corrected airborne GPS                        ,20180809000000,2018,,,Not Active,,122.6,C51925,JA70003000,,
,183561,2018080201,20180802000000,Non-corrected ground GPS                          ,20180803000000,2018,,,Not Active,,4.6,C52032,JA70003000,,
,183562,2018080701,20180807000000,Derived from satellite imagery                    ,20180808000000,2018,,,Active,,301.7,R92070,JA70003000,,
,183563,2018080801,20180808000000,Derived from satellite imagery                    ,20180808000000,2018,,,Active,,516.5,R92071,JA70003000,,
739,183564,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,South of Long Lake,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=739,Fire of Note,,224.2,G42036,JA70003000,,
725,183565,2018080201,20180802000000,Non-corrected airborne GPS                        ,20180803000000,2018,Proctor Rd,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=725,Fire of Note,,25.4,K41809,JA70003000,,
,183566,2018080301,20180803000000,Hand sketch of any type                           ,20180803000000,2018,,,Active,,25.8,K41812,JA70003000,,
724,183567,2018080301,20180803000000,Hand sketch of any type                           ,20180803000000,2018,Mabel Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=724,Fire of Note,,86.4,K41813,JA70003000,,
,183568,2018072701,20180727000000,Derived from satellite imagery                    ,20180729000000,2018,,,Not Active,,5.5,K51293,JA70003000,,
682,183569,2018052901,20180529000000,Non-corrected airborne GPS                        ,20180530000000,2018,Xusum Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=682,Not Active,,505.1,K70348,JA70003000,,
,183570,2018080701,20180807000000,Non-corrected ground GPS                          ,20180807000000,2018,,,Active,,133.7,N21714,JA70003000,,
736,183571,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180807000000,2018,Cross River,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=736,Fire of Note,,36.3,N21982,JA70003000,,
711,183572,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,Whitetail Creek,http://bcfireinfo.for.gov.bc.ca/hprScripts/WildfireNews/OneFire.asp?ID=711,Fire of Note,,282.8,N41525,JA70003000,,
,183573,2018072701,20180727000000,Non-corrected ground GPS                          ,20180727000000,2018,,,Not Active,,5.0,C11471,JA70003000,,
,183574,2018072301,20180723000000,Non-corrected ground GPS                          ,20180723000000,2018,,,Not Active,,55.2,C51288,JA70003000,,
,183575,2018062401,20180624000000,Non-corrected ground GPS                          ,20180713000000,2018,,,,,2.0,G40615,JA70003000,,
,183576,2018080701,20180807000000,Non-corrected airborne GPS                        ,20180808000000,2018,,,,,13.8,G42295,JA70003000,,
,183577,2018080301,20180803000000,Non-corrected airborne GPS                        ,20180804000000,2018,,,,,10.7,C40165,JA70003000,,
