Farm_Area_Size,NAICS_Farm_Type,Gross_Farm_Receipt_Category,Number_of_Farms,,
1 acre,Dairy cattle and milk production," Under $2,500",0,,
1 acre,"Beef cattle ranching and farming, including feedlots"," Under $2,500",3,,
1 acre,Hog and pig farming," Under $2,500",0,,
1 acre,Poultry and egg production," Under $2,500",30,,
1 acre,Sheep and goat farming," Under $2,500",4,,
1 acre,Other animal production," Under $2,500",30,,
1 acre,Oilseed and grain farming," Under $2,500",0,,
1 acre,Vegetable and melon farming," Under $2,500",13,,
1 acre,Fruit and tree nut farming," Under $2,500",20,,
1 acre,Mushroom production," Under $2,500",0,,
1 acre,Other food crops grown under cover," Under $2,500",2,,
1 acre,Nursery and tree production," Under $2,500",7,,
1 acre,Floriculture production," Under $2,500",4,,
1 acre,Other crop farming," Under $2,500",2,,
2 to 10 acres,Dairy cattle and milk production," Under $2,500",5,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots"," Under $2,500",42,,
2 to 10 acres,Hog and pig farming," Under $2,500",5,,
2 to 10 acres,Poultry and egg production," Under $2,500",103,,
2 to 10 acres,Sheep and goat farming," Under $2,500",59,,
2 to 10 acres,Other animal production," Under $2,500",178,,
2 to 10 acres,Oilseed and grain farming," Under $2,500",2,,
2 to 10 acres,Vegetable and melon farming," Under $2,500",82,,
2 to 10 acres,Fruit and tree nut farming," Under $2,500",225,,
2 to 10 acres,Mushroom production," Under $2,500",4,,
2 to 10 acres,Other food crops grown under cover," Under $2,500",10,,
2 to 10 acres,Nursery and tree production," Under $2,500",104,,
2 to 10 acres,Floriculture production," Under $2,500",8,,
2 to 10 acres,Other crop farming," Under $2,500",109,,
11 acres and over,Dairy cattle and milk production," Under $2,500",4,,
11 acres and over,"Beef cattle ranching and farming, including feedlots"," Under $2,500",72,,
11 acres and over,Hog and pig farming," Under $2,500",2,,
11 acres and over,Poultry and egg production," Under $2,500",21,,
11 acres and over,Sheep and goat farming," Under $2,500",31,,
11 acres and over,Other animal production," Under $2,500",247,,
11 acres and over,Oilseed and grain farming," Under $2,500",13,,
11 acres and over,Vegetable and melon farming," Under $2,500",31,,
11 acres and over,Fruit and tree nut farming," Under $2,500",85,,
11 acres and over,Mushroom production," Under $2,500",0,,
11 acres and over,Other food crops grown under cover," Under $2,500",3,,
11 acres and over,Nursery and tree production," Under $2,500",55,,
11 acres and over,Floriculture production," Under $2,500",6,,
11 acres and over,Other crop farming," Under $2,500",327,,
1 acre,Dairy cattle and milk production,"$2,500 to $4,999",1,,
1 acre,"Beef cattle ranching and farming, including feedlots","$2,500 to $4,999",0,,
1 acre,Hog and pig farming,"$2,500 to $4,999",1,,
1 acre,Poultry and egg production,"$2,500 to $4,999",10,,
1 acre,Sheep and goat farming,"$2,500 to $4,999",3,,
1 acre,Other animal production,"$2,500 to $4,999",20,,
1 acre,Oilseed and grain farming,"$2,500 to $4,999",0,,
1 acre,Vegetable and melon farming,"$2,500 to $4,999",11,,
1 acre,Fruit and tree nut farming,"$2,500 to $4,999",13,,
1 acre,Mushroom production,"$2,500 to $4,999",0,,
1 acre,Other food crops grown under cover,"$2,500 to $4,999",2,,
1 acre,Nursery and tree production,"$2,500 to $4,999",10,,
1 acre,Floriculture production,"$2,500 to $4,999",2,,
1 acre,Other crop farming,"$2,500 to $4,999",1,,
2 to 10 acres,Dairy cattle and milk production,"$2,500 to $4,999",7,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots","$2,500 to $4,999",163,,
2 to 10 acres,Hog and pig farming,"$2,500 to $4,999",15,,
2 to 10 acres,Poultry and egg production,"$2,500 to $4,999",250,,
2 to 10 acres,Sheep and goat farming,"$2,500 to $4,999",144,,
2 to 10 acres,Other animal production,"$2,500 to $4,999",603,,
2 to 10 acres,Oilseed and grain farming,"$2,500 to $4,999",8,,
2 to 10 acres,Vegetable and melon farming,"$2,500 to $4,999",172,,
2 to 10 acres,Fruit and tree nut farming,"$2,500 to $4,999",426,,
2 to 10 acres,Mushroom production,"$2,500 to $4,999",2,,
2 to 10 acres,Other food crops grown under cover,"$2,500 to $4,999",15,,
2 to 10 acres,Nursery and tree production,"$2,500 to $4,999",291,,
2 to 10 acres,Floriculture production,"$2,500 to $4,999",27,,
2 to 10 acres,Other crop farming,"$2,500 to $4,999",298,,
11 acres and over,Dairy cattle and milk production,"$2,500 to $4,999",18,,
11 acres and over,"Beef cattle ranching and farming, including feedlots","$2,500 to $4,999",232,,
11 acres and over,Hog and pig farming,"$2,500 to $4,999",7,,
11 acres and over,Poultry and egg production,"$2,500 to $4,999",31,,
11 acres and over,Sheep and goat farming,"$2,500 to $4,999",70,,
11 acres and over,Other animal production,"$2,500 to $4,999",578,,
11 acres and over,Oilseed and grain farming,"$2,500 to $4,999",15,,
11 acres and over,Vegetable and melon farming,"$2,500 to $4,999",64,,
11 acres and over,Fruit and tree nut farming,"$2,500 to $4,999",124,,
11 acres and over,Mushroom production,"$2,500 to $4,999",1,,
11 acres and over,Other food crops grown under cover,"$2,500 to $4,999",4,,
11 acres and over,Nursery and tree production,"$2,500 to $4,999",91,,
11 acres and over,Floriculture production,"$2,500 to $4,999",8,,
11 acres and over,Other crop farming,"$2,500 to $4,999",694,,
1 acre,Dairy cattle and milk production,"$5,000 to $9,999",0,,
1 acre,"Beef cattle ranching and farming, including feedlots","$5,000 to $9,999",1,,
1 acre,Hog and pig farming,"$5,000 to $9,999",0,,
1 acre,Poultry and egg production,"$5,000 to $9,999",3,,
1 acre,Sheep and goat farming,"$5,000 to $9,999",1,,
1 acre,Other animal production,"$5,000 to $9,999",7,,
1 acre,Oilseed and grain farming,"$5,000 to $9,999",1,,
1 acre,Vegetable and melon farming,"$5,000 to $9,999",10,,
1 acre,Fruit and tree nut farming,"$5,000 to $9,999",2,,
1 acre,Mushroom production,"$5,000 to $9,999",0,,
1 acre,Other food crops grown under cover,"$5,000 to $9,999",0,,
1 acre,Nursery and tree production,"$5,000 to $9,999",12,,
1 acre,Floriculture production,"$5,000 to $9,999",5,,
1 acre,Other crop farming,"$5,000 to $9,999",1,,
2 to 10 acres,Dairy cattle and milk production,"$5,000 to $9,999",2,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots","$5,000 to $9,999",104,,
2 to 10 acres,Hog and pig farming,"$5,000 to $9,999",9,,
2 to 10 acres,Poultry and egg production,"$5,000 to $9,999",101,,
2 to 10 acres,Sheep and goat farming,"$5,000 to $9,999",65,,
2 to 10 acres,Other animal production,"$5,000 to $9,999",276,,
2 to 10 acres,Oilseed and grain farming,"$5,000 to $9,999",5,,
2 to 10 acres,Vegetable and melon farming,"$5,000 to $9,999",62,,
2 to 10 acres,Fruit and tree nut farming,"$5,000 to $9,999",246,,
2 to 10 acres,Mushroom production,"$5,000 to $9,999",0,,
2 to 10 acres,Other food crops grown under cover,"$5,000 to $9,999",14,,
2 to 10 acres,Nursery and tree production,"$5,000 to $9,999",108,,
2 to 10 acres,Floriculture production,"$5,000 to $9,999",21,,
2 to 10 acres,Other crop farming,"$5,000 to $9,999",65,,
11 acres and over,Dairy cattle and milk production,"$5,000 to $9,999",5,,
11 acres and over,"Beef cattle ranching and farming, including feedlots","$5,000 to $9,999",331,,
11 acres and over,Hog and pig farming,"$5,000 to $9,999",7,,
11 acres and over,Poultry and egg production,"$5,000 to $9,999",42,,
11 acres and over,Sheep and goat farming,"$5,000 to $9,999",81,,
11 acres and over,Other animal production,"$5,000 to $9,999",583,,
11 acres and over,Oilseed and grain farming,"$5,000 to $9,999",17,,
11 acres and over,Vegetable and melon farming,"$5,000 to $9,999",47,,
11 acres and over,Fruit and tree nut farming,"$5,000 to $9,999",125,,
11 acres and over,Mushroom production,"$5,000 to $9,999",4,,
11 acres and over,Other food crops grown under cover,"$5,000 to $9,999",8,,
11 acres and over,Nursery and tree production,"$5,000 to $9,999",69,,
11 acres and over,Floriculture production,"$5,000 to $9,999",3,,
11 acres and over,Other crop farming,"$5,000 to $9,999",768,,
1 acre,Dairy cattle and milk production," $10,000 to $24,999",0,,
1 acre,"Beef cattle ranching and farming, including feedlots"," $10,000 to $24,999",2,,
1 acre,Hog and pig farming," $10,000 to $24,999",0,,
1 acre,Poultry and egg production," $10,000 to $24,999",1,,
1 acre,Sheep and goat farming," $10,000 to $24,999",0,,
1 acre,Other animal production," $10,000 to $24,999",11,,
1 acre,Oilseed and grain farming," $10,000 to $24,999",1,,
1 acre,Vegetable and melon farming," $10,000 to $24,999",6,,
1 acre,Fruit and tree nut farming," $10,000 to $24,999",5,,
1 acre,Mushroom production," $10,000 to $24,999",2,,
1 acre,Other food crops grown under cover," $10,000 to $24,999",6,,
1 acre,Nursery and tree production," $10,000 to $24,999",10,,
1 acre,Floriculture production," $10,000 to $24,999",9,,
1 acre,Other crop farming," $10,000 to $24,999",2,,
2 to 10 acres,Dairy cattle and milk production," $10,000 to $24,999",3,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots"," $10,000 to $24,999",37,,
2 to 10 acres,Hog and pig farming," $10,000 to $24,999",1,,
2 to 10 acres,Poultry and egg production," $10,000 to $24,999",50,,
2 to 10 acres,Sheep and goat farming," $10,000 to $24,999",24,,
2 to 10 acres,Other animal production," $10,000 to $24,999",205,,
2 to 10 acres,Oilseed and grain farming," $10,000 to $24,999",2,,
2 to 10 acres,Vegetable and melon farming," $10,000 to $24,999",74,,
2 to 10 acres,Fruit and tree nut farming," $10,000 to $24,999",310,,
2 to 10 acres,Mushroom production," $10,000 to $24,999",2,,
2 to 10 acres,Other food crops grown under cover," $10,000 to $24,999",16,,
2 to 10 acres,Nursery and tree production," $10,000 to $24,999",95,,
2 to 10 acres,Floriculture production," $10,000 to $24,999",35,,
2 to 10 acres,Other crop farming," $10,000 to $24,999",57,,
11 acres and over,Dairy cattle and milk production," $10,000 to $24,999",12,,
11 acres and over,"Beef cattle ranching and farming, including feedlots"," $10,000 to $24,999",481,,
11 acres and over,Hog and pig farming," $10,000 to $24,999",10,,
11 acres and over,Poultry and egg production," $10,000 to $24,999",19,,
11 acres and over,Sheep and goat farming," $10,000 to $24,999",60,,
11 acres and over,Other animal production," $10,000 to $24,999",552,,
11 acres and over,Oilseed and grain farming," $10,000 to $24,999",34,,
11 acres and over,Vegetable and melon farming," $10,000 to $24,999",49,,
11 acres and over,Fruit and tree nut farming," $10,000 to $24,999",165,,
11 acres and over,Mushroom production," $10,000 to $24,999",1,,
11 acres and over,Other food crops grown under cover," $10,000 to $24,999",12,,
11 acres and over,Nursery and tree production," $10,000 to $24,999",85,,
11 acres and over,Floriculture production," $10,000 to $24,999",11,,
11 acres and over,Other crop farming," $10,000 to $24,999",797,,
1 acre,Dairy cattle and milk production," $25,000 to $49,999",0,,
1 acre,"Beef cattle ranching and farming, including feedlots"," $25,000 to $49,999",0,,
1 acre,Hog and pig farming," $25,000 to $49,999",0,,
1 acre,Poultry and egg production," $25,000 to $49,999",3,,
1 acre,Sheep and goat farming," $25,000 to $49,999",0,,
1 acre,Other animal production," $25,000 to $49,999",13,,
1 acre,Oilseed and grain farming," $25,000 to $49,999",0,,
1 acre,Vegetable and melon farming," $25,000 to $49,999",4,,
1 acre,Fruit and tree nut farming," $25,000 to $49,999",0,,
1 acre,Mushroom production," $25,000 to $49,999",0,,
1 acre,Other food crops grown under cover," $25,000 to $49,999",3,,
1 acre,Nursery and tree production," $25,000 to $49,999",6,,
1 acre,Floriculture production," $25,000 to $49,999",9,,
1 acre,Other crop farming," $25,000 to $49,999",2,,
2 to 10 acres,Dairy cattle and milk production," $25,000 to $49,999",2,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots"," $25,000 to $49,999",2,,
2 to 10 acres,Hog and pig farming," $25,000 to $49,999",1,,
2 to 10 acres,Poultry and egg production," $25,000 to $49,999",19,,
2 to 10 acres,Sheep and goat farming," $25,000 to $49,999",5,,
2 to 10 acres,Other animal production," $25,000 to $49,999",96,,
2 to 10 acres,Oilseed and grain farming," $25,000 to $49,999",0,,
2 to 10 acres,Vegetable and melon farming," $25,000 to $49,999",24,,
2 to 10 acres,Fruit and tree nut farming," $25,000 to $49,999",242,,
2 to 10 acres,Mushroom production," $25,000 to $49,999",0,,
2 to 10 acres,Other food crops grown under cover," $25,000 to $49,999",16,,
2 to 10 acres,Nursery and tree production," $25,000 to $49,999",41,,
2 to 10 acres,Floriculture production," $25,000 to $49,999",16,,
2 to 10 acres,Other crop farming," $25,000 to $49,999",20,,
11 acres and over,Dairy cattle and milk production," $25,000 to $49,999",11,,
11 acres and over,"Beef cattle ranching and farming, including feedlots"," $25,000 to $49,999",360,,
11 acres and over,Hog and pig farming," $25,000 to $49,999",2,,
11 acres and over,Poultry and egg production," $25,000 to $49,999",10,,
11 acres and over,Sheep and goat farming," $25,000 to $49,999",28,,
11 acres and over,Other animal production," $25,000 to $49,999",317,,
11 acres and over,Oilseed and grain farming," $25,000 to $49,999",41,,
11 acres and over,Vegetable and melon farming," $25,000 to $49,999",34,,
11 acres and over,Fruit and tree nut farming," $25,000 to $49,999",182,,
11 acres and over,Mushroom production," $25,000 to $49,999",1,,
11 acres and over,Other food crops grown under cover," $25,000 to $49,999",4,,
11 acres and over,Nursery and tree production," $25,000 to $49,999",33,,
11 acres and over,Floriculture production," $25,000 to $49,999",14,,
11 acres and over,Other crop farming," $25,000 to $49,999",402,,
1 acre,Dairy cattle and milk production," $50,000 to $99,999",0,,
1 acre,"Beef cattle ranching and farming, including feedlots"," $50,000 to $99,999",0,,
1 acre,Hog and pig farming," $50,000 to $99,999",0,,
1 acre,Poultry and egg production," $50,000 to $99,999",0,,
1 acre,Sheep and goat farming," $50,000 to $99,999",0,,
1 acre,Other animal production," $50,000 to $99,999",6,,
1 acre,Oilseed and grain farming," $50,000 to $99,999",0,,
1 acre,Vegetable and melon farming," $50,000 to $99,999",1,,
1 acre,Fruit and tree nut farming," $50,000 to $99,999",0,,
1 acre,Mushroom production," $50,000 to $99,999",0,,
1 acre,Other food crops grown under cover," $50,000 to $99,999",2,,
1 acre,Nursery and tree production," $50,000 to $99,999",4,,
1 acre,Floriculture production," $50,000 to $99,999",4,,
1 acre,Other crop farming," $50,000 to $99,999",0,,
2 to 10 acres,Dairy cattle and milk production," $50,000 to $99,999",1,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots"," $50,000 to $99,999",2,,
2 to 10 acres,Hog and pig farming," $50,000 to $99,999",0,,
2 to 10 acres,Poultry and egg production," $50,000 to $99,999",12,,
2 to 10 acres,Sheep and goat farming," $50,000 to $99,999",1,,
2 to 10 acres,Other animal production," $50,000 to $99,999",48,,
2 to 10 acres,Oilseed and grain farming," $50,000 to $99,999",0,,
2 to 10 acres,Vegetable and melon farming," $50,000 to $99,999",24,,
2 to 10 acres,Fruit and tree nut farming," $50,000 to $99,999",160,,
2 to 10 acres,Mushroom production," $50,000 to $99,999",2,,
2 to 10 acres,Other food crops grown under cover," $50,000 to $99,999",10,,
2 to 10 acres,Nursery and tree production," $50,000 to $99,999",20,,
2 to 10 acres,Floriculture production," $50,000 to $99,999",24,,
2 to 10 acres,Other crop farming," $50,000 to $99,999",7,,
11 acres and over,Dairy cattle and milk production," $50,000 to $99,999",4,,
11 acres and over,"Beef cattle ranching and farming, including feedlots"," $50,000 to $99,999",314,,
11 acres and over,Hog and pig farming," $50,000 to $99,999",0,,
11 acres and over,Poultry and egg production," $50,000 to $99,999",5,,
11 acres and over,Sheep and goat farming," $50,000 to $99,999",16,,
11 acres and over,Other animal production," $50,000 to $99,999",171,,
11 acres and over,Oilseed and grain farming," $50,000 to $99,999",34,,
11 acres and over,Vegetable and melon farming," $50,000 to $99,999",30,,
11 acres and over,Fruit and tree nut farming," $50,000 to $99,999",303,,
11 acres and over,Mushroom production," $50,000 to $99,999",1,,
11 acres and over,Other food crops grown under cover," $50,000 to $99,999",4,,
11 acres and over,Nursery and tree production," $50,000 to $99,999",37,,
11 acres and over,Floriculture production," $50,000 to $99,999",12,,
11 acres and over,Other crop farming," $50,000 to $99,999",251,,
1 acre,Dairy cattle and milk production,"$100,000 to $249,999 ",2,,
1 acre,"Beef cattle ranching and farming, including feedlots","$100,000 to $249,999 ",2,,
1 acre,Hog and pig farming,"$100,000 to $249,999 ",0,,
1 acre,Poultry and egg production,"$100,000 to $249,999 ",1,,
1 acre,Sheep and goat farming,"$100,000 to $249,999 ",0,,
1 acre,Other animal production,"$100,000 to $249,999 ",4,,
1 acre,Oilseed and grain farming,"$100,000 to $249,999 ",0,,
1 acre,Vegetable and melon farming,"$100,000 to $249,999 ",2,,
1 acre,Fruit and tree nut farming,"$100,000 to $249,999 ",1,,
1 acre,Mushroom production,"$100,000 to $249,999 ",0,,
1 acre,Other food crops grown under cover,"$100,000 to $249,999 ",2,,
1 acre,Nursery and tree production,"$100,000 to $249,999 ",2,,
1 acre,Floriculture production,"$100,000 to $249,999 ",3,,
1 acre,Other crop farming,"$100,000 to $249,999 ",1,,
2 to 10 acres,Dairy cattle and milk production,"$100,000 to $249,999 ",7,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots","$100,000 to $249,999 ",1,,
2 to 10 acres,Hog and pig farming,"$100,000 to $249,999 ",1,,
2 to 10 acres,Poultry and egg production,"$100,000 to $249,999 ",25,,
2 to 10 acres,Sheep and goat farming,"$100,000 to $249,999 ",1,,
2 to 10 acres,Other animal production,"$100,000 to $249,999 ",36,,
2 to 10 acres,Oilseed and grain farming,"$100,000 to $249,999 ",0,,
2 to 10 acres,Vegetable and melon farming,"$100,000 to $249,999 ",15,,
2 to 10 acres,Fruit and tree nut farming,"$100,000 to $249,999 ",44,,
2 to 10 acres,Mushroom production,"$100,000 to $249,999 ",5,,
2 to 10 acres,Other food crops grown under cover,"$100,000 to $249,999 ",11,,
2 to 10 acres,Nursery and tree production,"$100,000 to $249,999 ",26,,
2 to 10 acres,Floriculture production,"$100,000 to $249,999 ",35,,
2 to 10 acres,Other crop farming,"$100,000 to $249,999 ",10,,
11 acres and over,Dairy cattle and milk production,"$100,000 to $249,999 ",33,,
11 acres and over,"Beef cattle ranching and farming, including feedlots","$100,000 to $249,999 ",277,,
11 acres and over,Hog and pig farming,"$100,000 to $249,999 ",2,,
11 acres and over,Poultry and egg production,"$100,000 to $249,999 ",13,,
11 acres and over,Sheep and goat farming,"$100,000 to $249,999 ",4,,
11 acres and over,Other animal production,"$100,000 to $249,999 ",123,,
11 acres and over,Oilseed and grain farming,"$100,000 to $249,999 ",31,,
11 acres and over,Vegetable and melon farming,"$100,000 to $249,999 ",49,,
11 acres and over,Fruit and tree nut farming,"$100,000 to $249,999 ",372,,
11 acres and over,Mushroom production,"$100,000 to $249,999 ",0,,
11 acres and over,Other food crops grown under cover,"$100,000 to $249,999 ",8,,
11 acres and over,Nursery and tree production,"$100,000 to $249,999 ",45,,
11 acres and over,Floriculture production,"$100,000 to $249,999 ",26,,
11 acres and over,Other crop farming,"$100,000 to $249,999 ",161,,
1 acre,Dairy cattle and milk production,"$250,000 to $499,999",0,,
1 acre,"Beef cattle ranching and farming, including feedlots","$250,000 to $499,999",0,,
1 acre,Hog and pig farming,"$250,000 to $499,999",0,,
1 acre,Poultry and egg production,"$250,000 to $499,999",9,,
1 acre,Sheep and goat farming,"$250,000 to $499,999",0,,
1 acre,Other animal production,"$250,000 to $499,999",1,,
1 acre,Oilseed and grain farming,"$250,000 to $499,999",0,,
1 acre,Vegetable and melon farming,"$250,000 to $499,999",0,,
1 acre,Fruit and tree nut farming,"$250,000 to $499,999",0,,
1 acre,Mushroom production,"$250,000 to $499,999",0,,
1 acre,Other food crops grown under cover,"$250,000 to $499,999",0,,
1 acre,Nursery and tree production,"$250,000 to $499,999",0,,
1 acre,Floriculture production,"$250,000 to $499,999",1,,
1 acre,Other crop farming,"$250,000 to $499,999",0,,
2 to 10 acres,Dairy cattle and milk production,"$250,000 to $499,999",1,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots","$250,000 to $499,999",2,,
2 to 10 acres,Hog and pig farming,"$250,000 to $499,999",0,,
2 to 10 acres,Poultry and egg production,"$250,000 to $499,999",45,,
2 to 10 acres,Sheep and goat farming,"$250,000 to $499,999",0,,
2 to 10 acres,Other animal production,"$250,000 to $499,999",6,,
2 to 10 acres,Oilseed and grain farming,"$250,000 to $499,999",0,,
2 to 10 acres,Vegetable and melon farming,"$250,000 to $499,999",4,,
2 to 10 acres,Fruit and tree nut farming,"$250,000 to $499,999",6,,
2 to 10 acres,Mushroom production,"$250,000 to $499,999",1,,
2 to 10 acres,Other food crops grown under cover,"$250,000 to $499,999",6,,
2 to 10 acres,Nursery and tree production,"$250,000 to $499,999",7,,
2 to 10 acres,Floriculture production,"$250,000 to $499,999",32,,
2 to 10 acres,Other crop farming,"$250,000 to $499,999",2,,
11 acres and over,Dairy cattle and milk production,"$250,000 to $499,999",130,,
11 acres and over,"Beef cattle ranching and farming, including feedlots","$250,000 to $499,999",87,,
11 acres and over,Hog and pig farming,"$250,000 to $499,999",3,,
11 acres and over,Poultry and egg production,"$250,000 to $499,999",38,,
11 acres and over,Sheep and goat farming,"$250,000 to $499,999",7,,
11 acres and over,Other animal production,"$250,000 to $499,999",36,,
11 acres and over,Oilseed and grain farming,"$250,000 to $499,999",33,,
11 acres and over,Vegetable and melon farming,"$250,000 to $499,999",39,,
11 acres and over,Fruit and tree nut farming,"$250,000 to $499,999",180,,
11 acres and over,Mushroom production,"$250,000 to $499,999",0,,
11 acres and over,Other food crops grown under cover,"$250,000 to $499,999",7,,
11 acres and over,Nursery and tree production,"$250,000 to $499,999",38,,
11 acres and over,Floriculture production,"$250,000 to $499,999",17,,
11 acres and over,Other crop farming,"$250,000 to $499,999",48,,
1 acre,Dairy cattle and milk production,"$500,000 and over",0,,
1 acre,"Beef cattle ranching and farming, including feedlots","$500,000 and over",0,,
1 acre,Hog and pig farming,"$500,000 and over",1,,
1 acre,Poultry and egg production,"$500,000 and over",16,,
1 acre,Sheep and goat farming,"$500,000 and over",0,,
1 acre,Other animal production,"$500,000 and over",0,,
1 acre,Oilseed and grain farming,"$500,000 and over",0,,
1 acre,Vegetable and melon farming,"$500,000 and over",1,,
1 acre,Fruit and tree nut farming,"$500,000 and over",0,,
1 acre,Mushroom production,"$500,000 and over",0,,
1 acre,Other food crops grown under cover,"$500,000 and over",1,,
1 acre,Nursery and tree production,"$500,000 and over",0,,
1 acre,Floriculture production,"$500,000 and over",2,,
1 acre,Other crop farming,"$500,000 and over",0,,
2 to 10 acres,Dairy cattle and milk production,"$500,000 and over",0,,
2 to 10 acres,"Beef cattle ranching and farming, including feedlots","$500,000 and over",1,,
2 to 10 acres,Hog and pig farming,"$500,000 and over",3,,
2 to 10 acres,Poultry and egg production,"$500,000 and over",164,,
2 to 10 acres,Sheep and goat farming,"$500,000 and over",0,,
2 to 10 acres,Other animal production,"$500,000 and over",4,,
2 to 10 acres,Oilseed and grain farming,"$500,000 and over",0,,
2 to 10 acres,Vegetable and melon farming,"$500,000 and over",1,,
2 to 10 acres,Fruit and tree nut farming,"$500,000 and over",4,,
2 to 10 acres,Mushroom production,"$500,000 and over",14,,
2 to 10 acres,Other food crops grown under cover,"$500,000 and over",7,,
2 to 10 acres,Nursery and tree production,"$500,000 and over",11,,
2 to 10 acres,Floriculture production,"$500,000 and over",36,,
2 to 10 acres,Other crop farming,"$500,000 and over",1,,
11 acres and over,Dairy cattle and milk production,"$500,000 and over",339,,
11 acres and over,"Beef cattle ranching and farming, including feedlots","$500,000 and over",63,,
11 acres and over,Hog and pig farming,"$500,000 and over",13,,
11 acres and over,Poultry and egg production,"$500,000 and over",170,,
11 acres and over,Sheep and goat farming,"$500,000 and over",0,,
11 acres and over,Other animal production,"$500,000 and over",33,,
11 acres and over,Oilseed and grain farming,"$500,000 and over",34,,
11 acres and over,Vegetable and melon farming,"$500,000 and over",63,,
11 acres and over,Fruit and tree nut farming,"$500,000 and over",127,,
11 acres and over,Mushroom production,"$500,000 and over",9,,
11 acres and over,Other food crops grown under cover,"$500,000 and over",32,,
11 acres and over,Nursery and tree production,"$500,000 and over",56,,
11 acres and over,Floriculture production,"$500,000 and over",47,,
11 acres and over,Other crop farming,"$500,000 and over",21,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
